run_name,benchmark,scenario,layer_idx,component,mean_weight_norm,mean_grad_norm,mean_bias_norm,mean_bias_grad_norm,max_grad_norm,n_rows
seq_film_r0pct_seed1,sdfc,shared_head,0,gamma,26.481773127209056,0.009953846029553333,13.087240214299674,0.009953846129946847,0.33549219369888306,1584
seq_film_r0pct_seed1,sdfc,shared_head,1,basal,9.152887502704004,0.32531886281577327,0.646762840826102,0.016843892627888397,5.08064079284668,1584
seq_film_r0pct_seed1,sdfc,shared_head,1,beta,26.47042861851779,0.018584592427277075,13.718993729413159,0.018584592398346644,0.25635653734207153,1584
seq_film_r0pct_seed1,sdfc,shared_head,1,gamma,26.326368121185688,0.021605868796174,14.193553498899094,0.02160586895574898,0.6577842235565186,1584
seq_film_r2pct_seed1,sdfc,shared_head,0,basal,9.412333404777026,0.1052868404058796,1.769299641627856,0.044324627028239624,0.5965945720672607,1584
seq_film_r2pct_seed1,sdfc,shared_head,0,beta,26.78423818313714,0.028291589679693887,12.171272807651096,0.028080206103524432,0.21203474700450897,1584
seq_film_r2pct_seed1,sdfc,shared_head,0,gamma,26.715741833051045,0.006812849371768111,12.96081690294574,0.0067945507945489335,0.14785361289978027,1584
seq_film_r2pct_seed1,sdfc,shared_head,1,basal,9.742930620005637,0.23164510933536508,0.6375311722207551,0.011947930844300314,2.9273717403411865,1584
seq_film_r2pct_seed1,sdfc,shared_head,1,beta,26.467778251628683,0.013230425617556914,13.737299403758964,0.013023511130773551,0.1818346232175827,1584
seq_film_r2pct_seed1,sdfc,shared_head,1,gamma,26.48395207915643,0.012400115342726085,14.198765035831567,0.01238591433216105,0.2372889220714569,1584
seq_film_r5pct_seed1,sdfc,shared_head,0,basal,9.388905418039572,0.10725250699077592,1.8189643615424032,0.045056782021996276,0.569283127784729,1584
seq_film_r5pct_seed1,sdfc,shared_head,0,beta,26.776216087919295,0.02874066696735687,12.176275871016763,0.028652898374018305,0.22587251663208008,1584
seq_film_r5pct_seed1,sdfc,shared_head,0,gamma,26.6965132795199,0.006634541676303894,12.962575051519606,0.006605390356700736,0.15969260036945343,1584
seq_film_r5pct_seed1,sdfc,shared_head,1,basal,9.815030679859296,0.2312486871825343,0.6427966116203202,0.01196557309571051,2.9273717403411865,1584
seq_film_r5pct_seed1,sdfc,shared_head,1,beta,26.470553978525025,0.0134450224016043,13.738516115781033,0.013127667960343491,0.1818346232175827,1584
seq_film_r5pct_seed1,sdfc,shared_head,1,gamma,26.476241123796715,0.012668274260111943,14.190149647418899,0.01257880053331845,0.22600843012332916,1584
seq_film_r10pct_seed1,sdfc,shared_head,0,basal,9.316352050111751,0.11681346896791248,1.811630714120287,0.04902360465076536,0.5626276135444641,1584
seq_film_r10pct_seed1,sdfc,shared_head,0,beta,26.774661810711176,0.03107440299106082,12.16550902104137,0.031208803668326283,0.26904359459877014,1584
seq_film_r10pct_seed1,sdfc,shared_head,0,gamma,26.694826748636032,0.007016595362772638,12.961225669191341,0.006998844371183723,0.15315715968608856,1584
seq_film_r10pct_seed1,sdfc,shared_head,1,basal,9.76415722237693,0.24467785764871297,0.6368633094384815,0.012718905935238434,2.9273717403411865,1584
seq_film_r10pct_seed1,sdfc,shared_head,1,beta,26.469672378867564,0.013965011225173848,13.737965703612627,0.013522849529710505,0.1818346232175827,1584
seq_film_r10pct_seed1,sdfc,shared_head,1,gamma,26.457439190209513,0.01304278859636109,14.18718249448622,0.013030053604899252,0.2510406970977783,1584
seq_affine_r0pct_seed1,sdfc,shared_head,0,add,26.722986056347086,0.0397674958241366,0.4437934397631607,0.03976749580336981,0.5764986276626587,1584
seq_affine_r0pct_seed1,sdfc,shared_head,0,basal,9.061757082890983,0.15179754472972656,1.743267147378488,0.06376571016741277,1.1237497329711914,1584
seq_affine_r0pct_seed1,sdfc,shared_head,0,gate,26.45493469695852,0.009418168430618773,1.4864987721754888,0.009418168558572734,0.31578731536865234,1584
seq_affine_r0pct_seed1,sdfc,shared_head,1,add,26.468350432135843,0.018721878324660594,0.20702984719889972,0.018721878383940814,0.25440290570259094,1584
seq_affine_r0pct_seed1,sdfc,shared_head,1,basal,9.063678064129569,0.3270656150869197,0.6395361726783743,0.016970093970478432,5.2202043533325195,1584
seq_affine_r0pct_seed1,sdfc,shared_head,1,gate,26.32400408056047,0.020728096768715374,0.6003840126513476,0.020728096603628305,0.6196644306182861,1584
seq_affine_r2pct_seed1,sdfc,shared_head,0,add,26.77945063451324,0.027632774361896883,0.32153702836843545,0.027499567062574042,0.30362656712532043,1584
seq_affine_r2pct_seed1,sdfc,shared_head,0,basal,9.421120264915505,0.10360106588999807,1.7859377370338247,0.04357649892776725,0.5602170825004578,1584
seq_affine_r2pct_seed1,sdfc,shared_head,0,gate,26.697777491627317,0.00667425822853193,1.6472226635481213,0.006658406875412582,0.18591871857643127,1584
seq_affine_r2pct_seed1,sdfc,shared_head,1,add,26.46464569038815,0.01359817240912972,0.1620322739307985,0.013393643196788176,0.23563824594020844,1584
seq_affine_r2pct_seed1,sdfc,shared_head,1,basal,9.644365035524272,0.22886985048623473,0.6346960830116513,0.011843656436003769,2.9273717403411865,1584
seq_affine_r2pct_seed1,sdfc,shared_head,1,gate,26.42436030778018,0.011958120071292135,0.8210818216244624,0.011953241983266909,0.25718754529953003,1584
seq_affine_r5pct_seed1,sdfc,shared_head,0,add,26.765302342597884,0.028526287316717663,0.3203058325399814,0.0284986316166093,0.2708256244659424,1584
seq_affine_r5pct_seed1,sdfc,shared_head,0,basal,9.374768987147496,0.10670856450627925,1.8144756774559165,0.04484946418946346,0.5639909505844116,1584
seq_affine_r5pct_seed1,sdfc,shared_head,0,gate,26.68250654803382,0.006476592635215528,1.6317374816704118,0.006459341254532149,0.1788809448480606,1584
seq_affine_r5pct_seed1,sdfc,shared_head,1,add,26.464119416294675,0.013528802548266454,0.1690698967120055,0.013329427792504216,0.21941252052783966,1584
seq_affine_r5pct_seed1,sdfc,shared_head,1,basal,9.771087511922374,0.22905350494612423,0.6381702222532094,0.011926532976218882,2.9273717403411865,1584
seq_affine_r5pct_seed1,sdfc,shared_head,1,gate,26.485018644670042,0.011996983617515953,0.8102730797624893,0.011946965771038768,0.22364994883537292,1584
seq_affine_r10pct_seed1,sdfc,shared_head,0,add,26.76208254303595,0.03097621922201271,0.3412488370415322,0.031076502856704435,0.299896240234375,1584
seq_affine_r10pct_seed1,sdfc,shared_head,0,basal,9.313497613776814,0.11629537207714159,1.8038484881622623,0.04881361521359514,0.5681858062744141,1584
seq_affine_r10pct_seed1,sdfc,shared_head,0,gate,26.68719408006379,0.006899630767146285,1.5974193112824742,0.006889358100703579,0.173925518989563,1584
seq_affine_r10pct_seed1,sdfc,shared_head,1,add,26.463485791225626,0.014022383016100147,0.16324968634507234,0.01359783011332265,0.22790010273456573,1584
seq_affine_r10pct_seed1,sdfc,shared_head,1,basal,9.652085275361031,0.2437562753676879,0.6380968987189158,0.012718563309661734,2.95639705657959,1584
seq_affine_r10pct_seed1,sdfc,shared_head,1,gate,26.449840071225406,0.012122791834252609,0.8174063638569975,0.012109863953479693,0.2146119922399521,1584
seq_film_r0pct_seed2,sdfc,shared_head,0,basal,9.150830165304319,0.14721419177173325,1.8382215736189274,0.06317646740324269,0.9332066774368286,1584
seq_film_r0pct_seed2,sdfc,shared_head,0,beta,26.212779337709602,0.040963435716401715,12.499374075971469,0.04096343583712565,0.8739135265350342,1584
seq_film_r0pct_seed2,sdfc,shared_head,0,gamma,26.96363577336976,0.009134498685660108,12.786171304457115,0.009134498684410701,0.1485978215932846,1584
seq_film_r0pct_seed2,sdfc,shared_head,1,basal,8.911773164163936,0.35699828168038616,0.6633460692158251,0.017602323708482377,7.249431133270264,1584
seq_film_r0pct_seed2,sdfc,shared_head,1,beta,25.491270561410925,0.02030193369421455,12.222816933887174,0.020301933679217076,0.4268738031387329,1584
seq_film_r0pct_seed2,sdfc,shared_head,1,gamma,25.894252101580303,0.027063045942824573,12.697376879778774,0.027063046014555225,0.7010393142700195,1584
